serial_no,race,education,income,gender,age,relationship
0007095,47,06,000000,1,72,01
0007095,47,04,000000,2,58,02
0007118,47,07,000000,2,88,01
0007133,47,13,083000,1,58,01
0007133,47,13,000000,2,54,02
0007133,47,13,014900,2,23,03
0007216,47,09,000000,2,73,01
0007224,37,10,050000,1,48,01
0007224,37,07,089000,2,39,02
0007286,37,05,000000,2,58,01
0007342,37,14,086000,1,52,01
0007342,47,14,085000,2,42,02
0007342,47,10,008000,1,18,05
0007354,37,04,000000,1,93,01
0007354,37,09,000000,2,81,02
0007374,47,11,036000,1,62,01
0007374,47,09,014400,2,61,02
0007390,37,13,070000,2,56,01
0007390,37,04,000000,2,15,03
0007415,47,11,000000,2,37,01
0007415,47,02,,2,04,03
0007415,47,00,,1,02,03
0007435,47,04,000000,1,53,01
0007435,47,09,007500,2,50,02
0007448,47,11,004000,1,20,23
0007450,47,11,001500,1,20,23
0007490,47,10,019700,1,51,01
0007490,47,10,039600,2,46,02
0007490,47,05,000360,1,16,03
0007537,47,13,047800,1,31,01
0007537,47,09,013200,2,33,02
0007537,47,03,,1,11,05
0007538,47,11,051000,1,40,01
0007538,47,09,000000,2,34,02
0007538,47,00,,1,01,03
0007538,47,03,,2,12,05
0007538,47,02,,2,10,05
0007579,47,13,014200,2,31,01
0007594,47,10,056000,1,34,01
0007594,47,12,026000,2,35,02
0007594,47,03,,2,12,03
0007594,47,02,,1,10,03
0007594,47,01,,1,03,03
0007601,15,12,000000,1,88,01
0007601,15,06,002800,1,54,03
0007601,15,13,000000,1,50,03
0007626,37,09,043900,1,42,01
0007626,37,09,014000,2,39,02
0007626,37,03,,2,12,03
0007626,37,04,000000,1,15,04
0007639,47,11,000500,1,60,01
0007639,47,11,003300,2,60,02
0007669,47,13,042500,1,49,01
0007713,47,09,031000,1,51,01
0007713,15,08,015000,2,43,02
0007714,37,09,010000,1,35,01
0007837,37,12,024000,2,37,22
0007845,47,04,000000,2,71,01
0007849,47,11,049700,1,60,01
0007849,47,14,008100,2,57,02
0007882,47,04,027000,1,28,01
0007882,01,09,000000,2,24,02
0007882,47,01,,1,06,03
0007882,47,01,,2,06,03
0007882,47,00,,2,00,03
0007882,01,13,044000,1,27,06
0007947,37,10,024000,1,29,01
0007947,37,11,016800,2,27,02
0007947,37,02,,1,07,03
0007947,37,02,,1,06,03
0007947,37,00,,2,02,03
0007961,47,11,046000,1,45,01
0007961,47,12,040000,2,38,02
0007961,47,03,,2,12,03
0007961,47,01,,1,08,03
0007961,47,00,,1,00,03
0008014,47,11,319000,1,49,01
0008014,47,13,000000,2,49,02
0008014,47,06,000000,1,17,03
0008125,37,12,000000,1,41,01
0008125,37,10,000000,2,32,02
0008125,37,00,,2,02,08
0008168,47,09,000000,1,46,01
0008168,47,09,000000,2,45,02
0008208,37,04,000000,1,56,01
0008208,37,06,020600,2,50,02
0008208,37,11,000000,2,20,03
0008208,37,02,,1,08,08
0008208,37,02,,2,08,08
0008208,37,02,,2,06,08
0008226,37,06,018300,1,47,01
0008226,37,12,022000,2,40,02
0008250,47,06,000000,1,81,01
0008277,47,01,000000,2,93,01
0008344,47,04,000000,2,77,01
0008344,47,10,020300,1,41,03
0008409,47,13,045000,1,59,01
0008409,47,09,000000,2,58,02
0008460,47,11,000180,1,64,01
0008460,47,09,015000,2,64,02
0008500,47,15,064000,1,57,01
0008500,47,11,027100,2,57,02
0008531,47,13,077000,1,50,01
0008531,47,11,000000,2,45,02
0008531,47,06,000000,2,16,03
0008531,47,03,,1,13,03
0008531,47,02,,1,11,03
0008546,47,13,000000,1,72,01
0008546,47,13,000000,2,66,02
0008546,47,11,000000,2,93,09
0008555,37,13,038000,1,34,01
0008597,37,02,000000,1,77,01
0008597,37,04,000000,2,77,02
0008597,37,13,000000,2,42,03
0008597,37,04,,2,14,08
0008670,68,09,000000,2,25,22
0008672,47,09,038000,1,23,22
0008713,47,02,026000,1,59,01
0008713,47,03,003000,2,56,02
0008713,47,04,009500,1,36,03
0008713,47,05,000000,2,16,08
0008741,47,09,045000,1,48,01
0008741,47,09,030000,2,45,02
0008741,47,11,007900,2,20,03
0008741,47,06,001200,2,16,03
0008880,47,11,000000,1,64,01
0008886,47,06,026100,1,26,01
0008886,47,09,000000,2,23,02
0008886,47,00,,1,02,03
0008903,47,07,055000,1,54,01
0008903,47,06,009000,2,42,02
0008989,37,09,001700,2,40,01
0008989,37,06,000000,1,44,02
0008989,37,01,,1,06,03
0009008,47,13,000130,1,67,01
0009010,47,12,000000,1,58,01
0009010,47,05,009500,2,53,02
0009030,46,04,040000,2,47,01
0009030,46,01,000000,2,23,03
0009052,47,09,018000,2,22,01
0009052,47,09,020000,1,24,02
0009060,47,09,032000,1,40,01
0009060,47,10,043000,2,39,02
0009060,47,04,000000,1,16,03
0009060,47,06,001000,2,16,03
0009103,47,11,006000,1,19,23
0009124,47,14,061000,1,50,01
0009124,47,05,000000,2,15,03
0009124,47,04,,2,14,03
0009124,47,02,,1,08,03
0009150,11,13,013000,2,27,01
0009150,11,14,030000,1,34,02
0009150,11,00,,1,02,03
0009150,11,00,,1,00,03
0009171,47,10,044600,1,48,01
0009171,47,09,000000,2,41,02
0009171,47,06,001300,2,16,03
0009171,47,03,,2,12,03
0009250,47,14,000000,1,78,01
0009250,47,11,000000,2,68,02
0009272,47,14,061000,1,43,01
0009272,47,14,039500,2,39,02
0009272,47,02,,1,10,03
0009272,47,02,,1,06,03
0009272,47,09,000000,1,19,13
0009302,47,13,048200,1,31,01
0009302,47,11,018300,2,28,02
0009302,47,01,,2,05,03
0009302,47,00,,2,01,03
0009338,47,13,071000,1,46,01
0009342,47,09,000000,2,67,22
0009361,47,14,014000,2,23,01
0009361,66,11,037000,1,25,02
0009361,47,11,011500,1,20,06
0009390,47,13,061000,1,27,01
0009390,47,11,034900,2,27,02
0009415,47,11,050000,1,50,01
0009441,47,13,072000,1,35,01
0009441,37,11,003500,2,37,02
0009441,68,01,,2,03,03
0009441,68,00,,2,02,03
0009449,47,11,030300,1,35,01
0009449,47,13,030600,2,39,02
0009457,37,05,000000,2,70,01
0009457,37,07,000870,1,17,08
0009528,47,13,145000,1,39,01
0009528,47,14,048000,2,41,02
0009668,20,11,033000,1,47,01
0009668,20,05,000000,1,15,03
0009668,20,04,,2,13,03
0009692,47,09,070000,1,36,01
0009692,47,11,031000,2,39,02
0009692,47,02,,1,07,03
0009721,47,09,000000,1,54,01
0009721,47,09,007500,2,48,02
0009786,47,11,000000,2,65,01
0009801,47,13,062000,1,31,01
0009801,47,13,056000,2,25,02
0009801,47,00,,1,00,03
0009805,47,13,077000,2,37,01
0009805,47,09,000000,1,45,02
0009816,47,11,029900,1,44,01
0009816,47,13,018000,2,44,02
0009816,47,05,000000,2,18,03
0009816,47,04,000000,2,15,03
0009816,47,00,,1,00,08
0009816,47,10,015000,1,18,10
0009822,47,15,100000,1,52,01
0009822,47,13,054000,2,43,02
0009822,47,01,,2,06,05
0009830,47,09,003500,2,32,01
0009830,37,02,,1,09,03
0009830,37,02,,1,09,03
0009845,47,09,000000,2,77,01
0009845,47,08,023500,1,40,03
0009863,47,13,034100,2,40,01
0009863,47,10,023000,1,42,02
0009863,47,02,,1,09,03
0009863,47,02,,1,07,03
0009907,47,11,000000,2,65,01
0009922,37,08,005000,2,36,01
0009922,37,05,000000,1,16,03
0009922,37,04,,1,14,03
0009922,37,03,,2,13,03
0009922,37,02,,2,10,03
0009922,37,02,,1,08,03
0009922,37,02,,1,07,03
0009955,66,06,000000,2,65,01
0010044,47,09,003600,1,62,01
0010044,47,09,018100,2,58,02
0010071,47,13,024000,2,26,01
0010071,47,13,026600,2,27,18
0010071,47,11,017000,2,26,18
0010156,47,11,029000,1,27,01
0010156,47,13,029000,2,28,02
0010156,47,02,,2,07,03
0010156,47,00,,1,01,03
0010200,47,11,000000,2,72,01
0010206,47,04,000000,1,81,01
0010208,47,13,060000,1,31,01
0010241,47,13,038000,1,33,01
0010241,47,13,032500,2,32,02
0010241,47,00,,2,01,03
0010245,47,08,054000,1,62,01
0010245,47,08,000000,2,60,02
0010258,47,06,000000,1,71,01
0010258,47,04,000000,2,71,02
0010277,47,08,000000,2,81,01
0010278,47,15,319000,1,48,01
0010278,47,13,119000,2,48,02
0010278,47,04,,2,14,03
0010398,47,16,090000,1,47,01
0010398,47,16,032000,2,48,02
0010398,47,03,,2,13,03
0010398,47,02,,2,11,03
0010440,37,13,030000,1,43,01
0010440,37,09,017000,2,43,02
0010440,37,09,018000,1,24,03
0010440,37,04,,1,13,03
0010440,37,03,,1,11,03
0010440,37,01,,2,04,03
0010465,47,09,157000,1,67,01
0010465,47,12,000000,2,63,02
0010496,37,09,022000,2,62,01
0010496,37,13,034000,2,41,03
0010547,47,03,000000,1,82,01
0010547,47,01,000000,2,72,02
0010547,47,04,000000,2,58,03
0010609,47,14,000000,2,81,01
0010640,47,13,028000,2,32,01
0010856,47,07,035000,2,47,01
0010856,47,09,038000,1,44,02
0010890,47,12,054000,1,46,01
0010890,47,09,000000,2,42,02
0010893,47,10,050000,1,41,01
0010893,47,09,020000,2,40,02
0010893,47,11,020000,1,20,03
0010893,47,06,000000,1,17,03
0010900,47,11,000000,2,62,01
0010900,47,13,000000,1,65,02
0010971,47,09,000700,2,19,23
0011032,47,09,003100,1,21,22
0011033,37,13,035000,1,49,01
0011033,37,09,000000,2,26,02
0011033,37,01,,2,04,03
0011033,37,00,,1,01,03
0011068,71,13,038000,1,48,01
0011068,15,11,028000,2,41,02
0011068,71,01,,1,04,03
0011081,47,13,019700,2,35,01
0011081,47,11,033000,1,33,18
0011096,47,04,028000,1,37,01
0011127,37,10,024000,1,33,01
0011173,47,04,000000,1,72,01
0011173,47,04,000000,2,61,02
0011173,47,02,000000,2,93,09
0011216,47,09,000000,2,64,01
0011218,47,09,038500,1,45,01
0011218,47,09,026900,2,53,02
0011218,47,04,,1,14,03
0011224,47,09,050000,1,36,01
0011224,47,08,000000,2,33,02
0011224,47,04,,2,14,03
0011224,47,03,,1,12,03
0011242,47,13,097000,1,43,01
0011242,47,13,030000,2,37,02
0011311,37,01,016000,2,49,01
0011311,37,07,016000,1,38,17
0011331,47,06,023000,1,58,01
